OS01W :     Name
ESGME :     Arctic Oil and Gas Exploration Percentage of Covered Portfolio with 25 to 50 Percent Involved
ESGMF :     Arctic Oil and Gas Exploration Percentage of Covered Portfolio with Greater than 50 Percent Involved
ESGMG :     Arctic Oil and Gas Exploration Percentage of Covered Portfolio Not Involved
ESGMH :     Arctic Oil and Gas Exploration Percentage of Eligible Portfolio Covered
ESGMI :     Arctic Oil and Gas Exploration Percentage of Eligible Portfolio Not Covered
ESGMJ :     Arctic Oil and Gas Exploration Percentage of Eligible Portfolio Involved
ESGMK :     Arctic Oil and Gas Exploration Percentage of Eligible Portfolio with Less than 5 Percent Involved
ESGML :     Arctic Oil and Gas Exploration Percentage of Eligible Portfolio with 5 to 10 Percent Involved
ESGMM :     Arctic Oil and Gas Exploration Percentage of Eligible Portfolio with 10 to 25 Percent Involved
ESGMN :     Arctic Oil and Gas Exploration Percentage of Eligible Portfolio with 25 to 50 Percent Involved
ESGMO :     Arctic Oil and Gas Exploration Percentage of Eligible Portfolio with Greater than 50 Percent Involved
ESGMP :     Arctic Oil and Gas Exploration Percentage of Eligible Portfolio Not Involved
ESGMQ :     Arctic Oil and Gas Exploration Percentage of Portfolio Covered
ESGMR :     Arctic Oil and Gas Exploration Percentage of Portfolio Eligible
ESGMS :     Arctic Oil and Gas Exploration Percentage of Portfolio Eligible Not Covered
ESGMT :     Arctic Oil and Gas Exploration Percentage of Portfolio Involved
ESGMU :     Arctic Oil and Gas Exploration Percentage of Portfolio with Less than 5 Percent Involved
ESGMV :     Arctic Oil and Gas Exploration Percentage of Portfolio with 5 to 10 Percent Involved
ESGMW :     Arctic Oil and Gas Exploration Percentage of Portfolio with 10 to 25 Percent Involved
ESGMX :     Arctic Oil and Gas Exploration Percentage of Portfolio with 25 to 50 Percent Involved
ESGMY :     Arctic Oil and Gas Exploration Percentage of Portfolio with Greater than 50 Percent Involved
ESGMZ :     Arctic Oil and Gas Exploration Percentage of Portfolio Not Covered
ESGN1 :     Arctic Oil and Gas Exploration Percentage of Portfolio Not Eligible
ESGN2 :     Arctic Oil and Gas Exploration Percentage of Portfolio Not Involved
ESGN3 :     Shale Energy Extraction Eligible Holding Type
ESGN4 :     Shale Energy Extraction Number of Holdings Covered
ESGN5 :     Shale Energy Extraction Percentage of Covered Portfolio Involved
ESGN6 :     Shale Energy Extraction Percentage of Covered Portfolio with Less than 5 Percent Involved
ESGN7 :     Shale Energy Extraction Percentage of Covered Portfolio with 5 to 10 Percent Involved
ESGN8 :     Shale Energy Extraction Percentage of Covered Portfolio with 10 to 25 Percent Involved
ESGN9 :     Shale Energy Extraction Percentage of Covered Portfolio with 25 to 50 Percent Involved
ESGNA :     Shale Energy Extraction Percentage of Covered Portfolio with Greater than 50 Percent Involved
ESGNB :     Shale Energy Extraction Percentage of Covered Portfolio Not Involved
ESGNC :     Shale Energy Extraction Percentage of Eligible Portfolio Covered
ESGND :     Shale Energy Extraction Percentage of Eligible Portfolio Not Covered
ESGNE :     Shale Energy Extraction Percentage of Eligible Portfolio Involved
ESGNF :     Shale Energy Extraction Percentage of Eligible Portfolio with Less than 5 Percent Involved
ESGNG :     Shale Energy Extraction Percentage of Eligible Portfolio with 5 to 10 Percent Involved
ESGNH :     Shale Energy Extraction Percentage of Eligible Portfolio with 10 to 25 Percent Involved
ESGNI :     Shale Energy Extraction Percentage of Eligible Portfolio with 25 to 50 Percent Involved
ESGNJ :     Shale Energy Extraction Percentage of Eligible Portfolio with Greater than 50 Percent Involved
ESGNK :     Shale Energy Extraction Percentage of Eligible Portfolio Not Involved
ESGNL :     Shale Energy Extraction Percentage of Portfolio Covered
ESGNM :     Shale Energy Extraction Percentage of Portfolio Eligible
ESGNN :     Shale Energy Extraction Percentage of Portfolio Eligible Not Covered
ESGNO :     Shale Energy Extraction Percentage of Portfolio Involved
ESGNP :     Shale Energy Extraction Percentage of Portfolio with Less than 5 Percent Involved
ESGNQ :     Shale Energy Extraction Percentage of Portfolio with 5 to 10 Percent Involved
ESGNR :     Shale Energy Extraction Percentage of Portfolio with 10 to 25 Percent Involved
ESGNS :     Shale Energy Extraction Percentage of Portfolio with 25 to 50 Percent Involved
ESGNT :     Shale Energy Extraction Percentage of Portfolio with Greater than 50 Percent Involved
ESGNU :     Shale Energy Extraction Percentage of Portfolio Not Covered
ESGNV :     Shale Energy Extraction Percentage of Portfolio Not Eligible
ESGNW :     Shale Energy Extraction Percentage of Portfolio Not Involved
ESGNX :     Carbon Solutions Eligible Holding Type
ESGNY :     Carbon Solutions Number of Holdings Covered
ESGNZ :     Carbon Solutions Percentage of Covered Portfolio Involved
ESGO1 :     Carbon Solutions Percentage of Covered Portfolio with Less than 5 Percent Involved
ESGO2 :     Carbon Solutions Percentage of Covered Portfolio with 5 to 10 Percent Involved
ESGO3 :     Carbon Solutions Percentage of Covered Portfolio with 10 to 25 Percent Involved
ESGO4 :     Carbon Solutions Percentage of Covered Portfolio with 25 to 50 Percent Involved
ESGO5 :     Carbon Solutions Percentage of Covered Portfolio with Greater than 50 Percent Involved
ESGO6 :     Carbon Solutions Percentage of Covered Portfolio Not Involved
ESGO7 :     Carbon Solutions Percentage of Eligible Portfolio Covered
ESGO8 :     Carbon Solutions Percentage of Eligible Portfolio Not Covered
ESGO9 :     Carbon Solutions Percentage of Eligible Portfolio Involved
ESGOA :     Carbon Solutions Percentage of Eligible Portfolio with Less than 5 Percent Involved
ESGOB :     Carbon Solutions Percentage of Eligible Portfolio with 5 to 10 Percent Involved
ESGOC :     Carbon Solutions Percentage of Eligible Portfolio with 10 to 25 Percent Involved
ESGOD :     Carbon Solutions Percentage of Eligible Portfolio with 25 to 50 Percent Involved
ESGOE :     Carbon Solutions Percentage of Eligible Portfolio with Greater than 50 Percent Involved
ESGOF :     Carbon Solutions Percentage of Eligible Portfolio Not Involved
ESGOG :     Carbon Solutions Percentage of Portfolio Covered
ESGOH :     Carbon Solutions Percentage of Portfolio Eligible
ESGOI :     Carbon Solutions Percentage of Portfolio Eligible Not Covered
ESGOJ :     Carbon Solutions Percentage of Portfolio Involved
ESGOK :     Carbon Solutions Percentage of Portfolio with Less than 5 Percent Involved
ESGOL :     Carbon Solutions Percentage of Portfolio with 5 to 10 Percent Involved
ESGOM :     Carbon Solutions Percentage of Portfolio with 10 to 25 Percent Involved
ESGON :     Carbon Solutions Percentage of Portfolio with 25 to 50 Percent Involved
ESGOO :     Carbon Solutions Percentage of Portfolio with Greater than 50 Percent Involved
ESGOP :     Carbon Solutions Percentage of Portfolio Not Covered
ESGOQ :     Carbon Solutions Percentage of Portfolio Not Eligible
ESGOR :     Carbon Solutions Percentage of Portfolio Not Involved
ESGOS :     Historical Fossil Fuel Percentage of Covered Portfolio Involved
ESGOT :     Historical Fossil Fuel Percentage of Covered Portfolio with Less than 5 Percent Involved
ESGOU :     Historical Fossil Fuel Percentage of Covered Portfolio with 5 to 10 Percent Involved
ESGOV :     Historical Fossil Fuel Percentage of Covered Portfolio with 10 to 25 Percent Involved
ESGOW :     Historical Fossil Fuel Percentage of Covered Portfolio with 25 to 50 Percent Involved
ESGOX :     Historical Fossil Fuel Percentage of Covered Portfolio with Greater than 50 Percent Involved
ESGOY :     Fossil Fuel Involvement Percentage of Covered Portfolio with Less than 5 Percent Involved Category Average
ESGOZ :     Fossil Fuel Involvement Percentage of Covered Portfolio with 5 to 10 Percent Involved Category Average
ESGP1 :     Fossil Fuel Involvement Percentage of Covered Portfolio with 10 to 25 Percent Involved Category Average
ESGP2 :     Fossil Fuel Involvement Percentage of Covered Portfolio with 25 to 50 Percent Involved Category Average
ESGP3 :     Fossil Fuel Involvement Percentage of Covered Portfolio with Greater than 50 Percent Involved Category Average
ESGP4 :     Thermal Coal Extraction Involvement Percentage of Covered Portfolio with Less than 5 Percent Involved Category Average
ESGP5 :     Thermal Coal Extraction Involvement Percentage of Covered Portfolio with 5 to 10 Percent Involved Category Average
ESGP6 :     Thermal Coal Extraction Involvement Percentage of Covered Portfolio with 10 to 25 Percent Involved Category Average
ESGP7 :     Thermal Coal Extraction Involvement Percentage of Covered Portfolio with 25 to 50 Percent Involved Category Average
ESGP8 :     Thermal Coal Extraction Involvement Percentage of Covered Portfolio with Greater than 50 Percent Involved Category Average
ESGP9 :     Thermal Coal Power Generation Involvement Percentage of Covered Portfolio with Less than 5 Percent Involved Category Average
ESGPA :     Thermal Coal Power Generation Involvement Percentage of Covered Portfolio with 5 to 10 Percent Involved Category Average
ESGPB :     Thermal Coal Power Generation Involvement Percentage of Covered Portfolio with 10 to 25 Percent Involved Category Average
ESGPC :     Thermal Coal Power Generation Involvement Percentage of Covered Portfolio with 25 to 50 Percent Involved Category Average
ESGPD :     Thermal Coal Power Generation Involvement Percentage of Covered Portfolio with Greater than 50 Percent Involved Category Average
ESGPE :     Oil and Gas Production Involvement Percentage of Covered Portfolio with Less than 5 Percent Involved Category Average
ESGPF :     Oil and Gas Production Involvement Percentage of Covered Portfolio with 5 to 10 Percent Involved Category Average
ESGPG :     Oil and Gas Production Involvement Percentage of Covered Portfolio with 10 to 25 Percent Involved Category Average
ESGPH :     Oil and Gas Production Involvement Percentage of Covered Portfolio with 25 to 50 Percent Involved Category Average
ESGPI :     Oil and Gas Production Involvement Percentage of Covered Portfolio with Greater than 50 Percent Involved Category Average
ESGPJ :     Oil and Gas Power Generation Involvement Percentage of Covered Portfolio with Less than 5 Percent Involved Category Average
ESGPK :     Oil and Gas Power Generation Involvement Percentage of Covered Portfolio with 5 to 10 Percent Involved Category Average
ESGPL :     Oil and Gas Power Generation Involvement Percentage of Covered Portfolio with 10 to 25 Percent Involved Category Average
ESGPM :     Oil and Gas Power Generation Involvement Percentage of Covered Portfolio with 25 to 50 Percent Involved Category Average
ESGPN :     Oil and Gas Power Generation Involvement Percentage of Covered Portfolio with Greater than 50 Percent Involved Category Average
ESGPO :     Oil and Gas Products and Services Involvement Percentage of Covered Portfolio with Less than 5 Percent Involved Category Average
ESGPP :     Oil and Gas Products and Services Involvement Percentage of Covered Portfolio with 5 to 10 Percent Involved Category Average
ESGPQ :     Oil and Gas Products and Services Involvement Percentage of Covered Portfolio with 10 to 25 Percent Involved Category Average
ESGPR :     Oil and Gas Products and Services Involvement Percentage of Covered Portfolio with 25 to 50 Percent Involved Category Average
ESGPS :     Oil and Gas Products and Services Involvement Percentage of Covered Portfolio with Greater than 50 Percent Involved Category Average
ESGPT :     Oil Sands Extraction Involvement Percentage of Covered Portfolio with Less than 5 Percent Involved Category Average
ESGPU :     Oil Sands Extraction Involvement Percentage of Covered Portfolio with 5 to 10 Percent Involved Category Average
ESGPV :     Oil Sands Extraction Involvement Percentage of Covered Portfolio with 10 to 25 Percent Involved Category Average
ESGPW :     Oil Sands Extraction Involvement Percentage of Covered Portfolio with 25 to 50 Percent Involved Category Average
ESGPX :     Oil Sands Extraction Involvement Percentage of Covered Portfolio with Greater than 50 Percent Involved Category Average
ESGPY :     Arctic Oil and Gas Exploration Involvement Percentage of Covered Portfolio with Less than 5 Percent Involved Category Average
ESGPZ :     Arctic Oil and Gas Exploration Involvement Percentage of Covered Portfolio with 5 to 10 Percent Involved Category Average
ESGQ1 :     Arctic Oil and Gas Exploration Involvement Percentage of Covered Portfolio with 10 to 25 Percent Involved Category Average
ESGQ2 :     Arctic Oil and Gas Exploration Involvement Percentage of Covered Portfolio with 25 to 50 Percent Involved Category Average
ESGQ3 :     Arctic Oil and Gas Exploration Involvement Percentage of Covered Portfolio with Greater than 50 Percent Involved Category Average
ESGQ4 :     Shale Energy Extraction Involvement Percentage of Covered Portfolio Involved Category Average
ESGQ5 :     Shale Energy Extraction Involvement Percentage of Covered Portfolio with Less than 5 Percent Involved Category Average
ESGQ6 :     Shale Energy Extraction Involvement Percentage of Covered Portfolio with 5 to 10 Percent Involved Category Average
ESGQ7 :     Shale Energy Extraction Involvement Percentage of Covered Portfolio with 10 to 25 Percent Involved Category Average
ESGQ8 :     Shale Energy Extraction Involvement Percentage of Covered Portfolio with 25 to 50 Percent Involved Category Average
ESGQ9 :     Shale Energy Extraction Involvement Percentage of Covered Portfolio with Greater than 50 Percent Involved Category Average
ESGQA :     Carbon Solutions Involvement Percentage of Covered Portfolio with Less than 5 Percent Involved Category Average
ESGQB :     Carbon Solutions Involvement Percentage of Covered Portfolio with 5 to 10 Percent Involved Category Average
ESGQC :     Carbon Solutions Involvement Percentage of Covered Portfolio with 10 to 25 Percent Involved Category Average
ESGQD :     Carbon Solutions Involvement Percentage of Covered Portfolio with 25 to 50 Percent Involved Category Average
ESGQE :     Carbon Solutions Involvement Percentage of Covered Portfolio with Greater than 50 Percent Involved Category Average
ESGQF :     Historical Fossil Fuel Involvement Percentage of Covered Portfolio with Less than 5 Percent Involved Category Average
ESGQG :     Historical Fossil Fuel Involvement Percentage of Covered Portfolio with 5 to 10 Percent Involved Category Average
ESGQH :     Historical Fossil Fuel Involvement Percentage of Covered Portfolio with 10 to 25 Percent Involved Category Average
ESGQI :     Historical Fossil Fuel Involvement Percentage of Covered Portfolio with 25 to 50 Percent Involved Category Average
ESGQJ :     Historical Fossil Fuel Involvement Percentage of Covered Portfolio with Greater than 50 Percent Involved Category Average
ESG1N :     Arctic Oil and Gas Exploration Involvement Percentage of Covered Portfolio Involved Category Average
ESG1O :     Carbon Solutions Involvement Percentage of Covered Portfolio Involved Category Average
ESG1J :     Fossil Fuel Involvement Percentage of Covered Portfolio Involved Category Average
ESG3P :     Highest Fossil Fuel Involvement Percentage of Covered Portfolio Involved in Category
ESG3U :     Highest Historical Fossil Fuel Involvement Percentage of Covered Portfolio Involved in Category
ESG3R :     Historical Fossil Fuel Involvement Percentage of Covered Portfolio Involved Category Average
ESG3Q :     Lowest Fossil Fuel Involvement Percentage of Covered Portfolio Involved in Category
ESG3V :     Lowest Historical Fossil Fuel Involvement Percentage of Covered Portfolio Involved in Category
ESG1S :     Oil and Gas Power Generation Involvement Percentage of Covered Portfolio Involved Category Average
ESG1T :     Oil and Gas Production Involvement Percentage of Covered Portfolio Involved Category Average
ESG1U :     Oil and Gas Products and Services Involvement Percentage of Covered Portfolio Involved Category Average
ESG1M :     Oil Sands Extraction Involvement Percentage of Covered Portfolio Involved Category Average
ESG1L :     Thermal Coal Extraction Involvement Percentage of Covered Portfolio Involved Category Average
ESG1K :     Thermal Coal Power Generation Involvement Percentage of Covered Portfolio Involved Category Average
ESGAJ :     Comp Prod Inv % - Arctic Oil & Gas Exploration
ESGAK :     Comp Prod Inv % - Oil & Gas Production
ESGAL :     Comp Prod Inv % - Oil & Gas Products & Services
ESGAM :     Comp Prod Inv % - Oil & Gas Generation
ESGAI :     Comp Prod Inv % - Oil Sands Extraction
ESG8P :     Carbon Overall Risk Score
ESG8Z :     Carbon Overall Risk Category
ESG8T :     Carbon Overall Exposure Score
ESG9G :     Carbon Overall Managed Risk Score
ESG9J :     Carbon Overall Manageable Risk Score
ESG8W :     Carbon Overall Management Score
ESGQK :     Carbon Operations Risk Score
ESGQL :     Carbon Products and Services Risk Score
ESG9Q :     Carbon Stranded Assets Exposure Score
ESG8N :     Carbon Total Emissions
ESG8O :     Carbon Emissions Source
ESGQM :     Carbon Total Emissions Scope 1,2&3
ESG8L :     Carbon Scope 1 Emissions
ESGQN :     Carbon Scope 1 Emissions Source Type
ESG8M :     Carbon Scope 2 Emissions
ESGQO :     Carbon Scope 2 Emissions Source Type
ESGQP :     Carbon Scope 3 Emissions
ESGQQ :     Carbon Scope 3 Emissions Source Type
ESGQR :     Carbon Emissions Fiscal Year
ESG7P :     Carbon Total Revenues (mln. USD)
ESG8S :     Carbon Intensity
ESGQS :     Carbon Intensity Scope 1,2&3
ESGQT :     Carbon Solutions Level of Involvement Id
ESG9P :     Carbon Solutions Level of Involvement Range
ESGQU :     Carbon Fossil Fuel Level of Involvement Id
ESG9O :     Carbon Fossil Fuel Level of Involvement Range
THE01 :     % of Portfolio Corporate
THE02 :     % of Portfolio Sovereign
THE03 :     % of Portfolio Other
THE04 :     Impact Metrics Eligible Type
THE05 :     Human Development % of Portfolio Eligible
THE06 :     Human Development % of Portfolio Not Eligible
THE07 :     Human Development % of Portfolio Covered
THE08 :     Human Development % of Portfolio Not Covered
THE09 :     Human Development % of Portfolio Eligible Not Covered
THE0A :     Human Development % of Eligible Portfolio Covered
THE0B :     Human Development % of Eligible Portfolio Not Covered
THE0C :     Human Development Number of Holdings Covered
THE0D :     Human Development % of Portfolio Involved
THE0E :     Human Development % of Portfolio Not Involved
THE0F :     Human Development % of Eligible Portfolio Involved
THE0G :     Human Development % of Eligible Portfolio Not Involved
THE0H :     Human Development % of Covered Portfolio Involved
THE0I :     Human Development % of Covered Portfolio Not Involved
THE0J :     Resource Security % of Portfolio Eligible
THE0K :     Resource Security % of Portfolio Not Eligible
THE0L :     Resource Security % of Portfolio Covered
THE0M :     Resource Security % of Portfolio Not Covered
THE0N :     Resource Security % of Portfolio Eligible Not Covered
THE0O :     Resource Security % of Eligible Portfolio Covered
THE0P :     Resource Security % of Eligible Portfolio Not Covered
THE0Q :     Resource Security Number of Holdings Covered
THE0R :     Resource Security % of Portfolio Involved
THE0S :     Resource Security % of Portfolio Not Involved
THE0T :     Resource Security % of Eligible Portfolio Involved
THE0U :     Resource Security % of Eligible Portfolio Not Involved
THE0V :     Resource Security % of Covered Portfolio Involved
THE0W :     Resource Security % of Covered Portfolio Not Involved
THE0X :     Climate Action % of Portfolio Eligible
THE0Y :     Climate Action % of Portfolio Not Eligible
THE0Z :     Climate Action % of Portfolio Covered
THE10 :     Climate Action % of Portfolio Not Covered
THE11 :     Climate Action % of Portfolio Eligible Not Covered
THE12 :     Climate Action % of Eligible Portfolio Covered
THE13 :     Climate Action % of Eligible Portfolio Not Covered
THE14 :     Climate Action Number of Holdings Covered
THE15 :     Climate Action % of Portfolio Involved
THE16 :     Climate Action % of Portfolio Not Involved
THE17 :     Climate Action % of Eligible Portfolio Involved
THE18 :     Climate Action % of Eligible Portfolio Not Involved
THE19 :     Climate Action % of Covered Portfolio Involved
THE1A :     Climate Action % of Covered Portfolio Not Involved
THE1B :     Basic Needs % of Portfolio Eligible
THE1C :     Basic Needs % of Portfolio Not Eligible
THE1D :     Basic Needs % of Portfolio Covered
THE1E :     Basic Needs % of Portfolio Not Covered
THE1F :     Basic Needs % of Portfolio Eligible Not Covered
THE1G :     Basic Needs % of Eligible Portfolio Covered
THE1H :     Basic Needs % of Eligible Portfolio Not Covered
THE1I :     Basic Needs Number of Holdings Covered
THE1J :     Basic Needs % of Portfolio Involved
THE1K :     Basic Needs % of Portfolio Not Involved
THE1L :     Basic Needs % of Eligible Portfolio Involved
THE1M :     Basic Needs % of Eligible Portfolio Not Involved
THE1N :     Basic Needs % of Covered Portfolio Involved
THE1O :     Basic Needs % of Covered Portfolio Not Involved
THE1P :     Healthy Ecosystems % of Portfolio Eligible
THE1Q :     Healthy Ecosystems % of Portfolio Not Eligible
THE1R :     Healthy Ecosystems % of Portfolio Covered
THE1S :     Healthy Ecosystems % of Portfolio Not Covered
THE1T :     Healthy Ecosystems % of Portfolio Eligible Not Covered
THE1U :     Healthy Ecosystems % of Eligible Portfolio Covered
THE1V :     Healthy Ecosystems % of Eligible Portfolio Not Covered
THE1W :     Healthy Ecosystems Number of Holdings Covered
THE1X :     Healthy Ecosystems % of Portfolio Involved
THE1Y :     Healthy Ecosystems % of Portfolio Not Involved
THE1Z :     Healthy Ecosystems % of Eligible Portfolio Involved
THE20 :     Healthy Ecosystems % of Eligible Portfolio Not Involved
THE21 :     Healthy Ecosystems % of Covered Portfolio Involved
THE22 :     Healthy Ecosystems % of Covered Portfolio Not Involved
THE23 :     Human Development Average Revenue %
THE24 :     Resource Security Average Revenue %
THE25 :     Climate Action Average Revenue %
THE26 :     Basic Needs Average Revenue %
THE27 :     Healthy Ecosystems Average Revenue %
THE28 :     Human Development % of Portfolio with less than 5% Involved
THE29 :     Human Development % of Portfolio with 5-10% Involved
THE2A :     Human Development % of Portfolio with 10-25% Involved
THE2B :     Human Development % of Portfolio with 25-50% Involved
THE2C :     Human Development % of Portfolio with over 50% Involved
THE2D :     Resource Security % of Portfolio with less than 5% Involved
THE2E :     Resource Security % of Portfolio with 5-10% Involved
THE2F :     Resource Security % of Portfolio with 10-25% Involved
THE2G :     Resource Security % of Portfolio with 25-50% Involved
THE2H :     Resource Security % of Portfolio with over 50% Involved
THE2I :     Climate Action % of Portfolio with less than 5% Involved
THE2J :     Climate Action % of Portfolio with 5-10% Involved
THE2K :     Climate Action % of Portfolio with 10-25% Involved
THE2L :     Climate Action % of Portfolio with 25-50% Involved
THE2M :     Climate Action % of Portfolio with over 50% Involved
THE2N :     Basic Needs % of Portfolio with less than 5% Involved
THE2O :     Basic Needs % of Portfolio with 5-10% Involved
THE2P :     Basic Needs % of Portfolio with 10-25% Involved
THE2Q :     Basic Needs % of Portfolio with 25-50% Involved
THE2R :     Basic Needs % of Portfolio with over 50% Involved
THE2S :     Healthy Ecosystems % of Portfolio with less than 5% Involved
THE2T :     Healthy Ecosystems % of Portfolio with 5-10% Involved
THE2U :     Healthy Ecosystems % of Portfolio with 10-25% Involved
THE2V :     Healthy Ecosystems % of Portfolio with 25-50% Involved
THE2W :     Healthy Ecosystems % of Portfolio with over 50% Involved
THE2Z :     Human Development % Involved Category Average
THE30 :     Resource Security % Involved Category Average
THE31 :     Climate Action % Involved Category Average
THE32 :     Basic Needs % Involved Category Average
THE33 :     Healthy Ecosystems % Involved Category Average
THE34 :     Human Development Revenue % Category Average
THE35 :     Resource Security Revenue % Category Average
THE36 :     Climate Action Revenue % Category Average
THE37 :     Basic Needs Revenue % Category Average
THE38 :     Healthy Ecosystems Revenue % Category Average
THE39 :     Human Development Revenue % Number of funds in Category
THE3A :     Resource Security Revenue % Number of Funds in Category
THE3B :     Climate Action Revenue % Number of Funds in Category
THE3C :     Basic Needs Revenue % Number of Funds in Category
THE3D :     Healthy Ecosystems Revenue % Number of Funds in Category
SDG00 :     SDG 2 % of Portfolio Eligible
SDG01 :     SDG 2 % of Portfolio Not Eligible
SDG02 :     SDG 2 % of Portfolio Covered
SDG03 :     SDG 2 % of Portfolio Not Covered
SDG04 :     SDG 2 % of Portfolio Eligible Not Covered
SDG05 :     SDG 2 % of Eligible Portfolio Covered
SDG06 :     SDG 2 % of Eligible Portfolio Not Covered
SDG07 :     SDG 2 Number of Holdings Covered
SDG08 :     SDG 2 % of Portfolio Involved
SDG09 :     SDG 2 % of Portfolio Not Involved
SDG0A :     SDG 2 % of Eligible Portfolio Involved
SDG0B :     SDG 2 % of Eligible Portfolio Not Involved
SDG0C :     SDG 2 % of Covered Portfolio Involved
SDG0D :     SDG 2 % of Covered Portfolio Not Involved
SDG0E :     SDG 3 % of Portfolio Eligible
SDG0F :     SDG 3 % of Portfolio Not Eligible
SDG0G :     SDG 3 % of Portfolio Covered
SDG0H :     SDG 3 % of Portfolio Not Covered
SDG0I :     SDG 3 % of Portfolio Eligible Not Covered
SDG0J :     SDG 3 % of Eligible Portfolio Covered
SDG0K :     SDG 3 % of Eligible Portfolio Not Covered
SDG0L :     SDG 3 Number of Holdings Covered
SDG0M :     SDG 3 % of Portfolio Involved
SDG0N :     SDG 3 % of Portfolio Not Involved
SDG0O :     SDG 3 % of Eligible Portfolio Involved
SDG0P :     SDG 3 % of Eligible Portfolio Not Involved
SDG0Q :     SDG 3 % of Covered Portfolio Involved
SDG0R :     SDG 3 % of Covered Portfolio Not Involved
SDG0S :     SDG 4 % of Portfolio Eligible
SDG0T :     SDG 4 % of Portfolio Not Eligible
SDG0U :     SDG 4 % of Portfolio Covered
SDG0V :     SDG 4 % of Portfolio Not Covered
SDG0W :     SDG 4 % of Portfolio Eligible Not Covered
SDG0X :     SDG 4 % of Eligible Portfolio Covered
SDG0Y :     SDG 4 % of Eligible Portfolio Not Covered
SDG0Z :     SDG 4 Number of Holdings Covered
SDG10 :     SDG 4 % of Portfolio Involved
SDG11 :     SDG 4 % of Portfolio Not Involved
SDG12 :     SDG 4 % of Eligible Portfolio Involved
SDG13 :     SDG 4 % of Eligible Portfolio Not Involved
SDG14 :     SDG 4 % of Covered Portfolio Involved
SDG15 :     SDG 4 % of Covered Portfolio Not Involved
SDG16 :     SDG 6 % of Portfolio Eligible
SDG17 :     SDG 6 % of Portfolio Not Eligible
SDG18 :     SDG 6 % of Portfolio Covered
SDG19 :     SDG 6 % of Portfolio Not Covered
SDG1A :     SDG 6 % of Portfolio Eligible Not Covered
SDG1B :     SDG 6 % of Eligible Portfolio Covered
SDG1C :     SDG 6 % of Eligible Portfolio Not Covered
SDG1D :     SDG 6 Number of Holdings Covered
SDG1E :     SDG 6 % of Portfolio Involved
SDG1F :     SDG 6 % of Portfolio Not Involved
SDG1G :     SDG 6 % of Eligible Portfolio Involved
SDG1H :     SDG 6 % of Eligible Portfolio Not Involved
SDG1I :     SDG 6 % of Covered Portfolio Involved
SDG1J :     SDG 6 % of Covered Portfolio Not Involved
SDG1K :     SDG 7 % of Portfolio Eligible
SDG1L :     SDG 7 % of Portfolio Not Eligible
SDG1M :     SDG 7 % of Portfolio Covered
SDG1N :     SDG 7 % of Portfolio Not Covered
SDG1O :     SDG 7 % of Portfolio Eligible Not Covered
SDG1P :     SDG 7 % of Eligible Portfolio Covered
SDG1Q :     SDG 7 % of Eligible Portfolio Not Covered
SDG1R :     SDG 7 Number of Holdings Covered
SDG1S :     SDG 7 % of Portfolio Involved
SDG1T :     SDG 7 % of Portfolio Not Involved
SDG1U :     SDG 7 % of Eligible Portfolio Involved
SDG1V :     SDG 7 % of Eligible Portfolio Not Involved
SDG1W :     SDG 7 % of Covered Portfolio Involved
SDG1X :     SDG 7 % of Covered Portfolio Not Involved
SDG1Y :     SDG 9 % of Portfolio Eligible
SDG1Z :     SDG 9 % of Portfolio Not Eligible
SDG20 :     SDG 9 % of Portfolio Covered
SDG21 :     SDG 9 % of Portfolio Not Covered
SDG22 :     SDG 9 % of Portfolio Eligible Not Covered
SDG23 :     SDG 9 % of Eligible Portfolio Covered
SDG24 :     SDG 9 % of Eligible Portfolio Not Covered
SDG25 :     SDG 9 Number of Holdings Covered
SDG26 :     SDG 9 % of Portfolio Involved
SDG27 :     SDG 9 % of Portfolio Not Involved
SDG28 :     SDG 9 % of Eligible Portfolio Involved
SDG29 :     SDG 9 % of Eligible Portfolio Not Involved
SDG2A :     SDG 9 % of Covered Portfolio Involved
SDG2B :     SDG 9 % of Covered Portfolio Not Involved
SDG2C :     SDG 10 % of Portfolio Eligible
SDG2D :     SDG 10 % of Portfolio Not Eligible
SDG2E :     SDG 10 % of Portfolio Covered
SDG2F :     SDG 10 % of Portfolio Not Covered
SDG2G :     SDG 10 % of Portfolio Eligible Not Covered
SDG2H :     SDG 10 % of Eligible Portfolio Covered
SDG2I :     SDG 10 % of Eligible Portfolio Not Covered
SDG2J :     SDG 10 Number of Holdings Covered
SDG2K :     SDG 10 % of Portfolio Involved
SDG2L :     SDG 10 % of Portfolio Not Involved
SDG2M :     SDG 10 % of Eligible Portfolio Involved
SDG2N :     SDG 10 % of Eligible Portfolio Not Involved
SDG2O :     SDG 10 % of Covered Portfolio Involved
SDG2P :     SDG 10 % of Covered Portfolio Not Involved
SDG2Q :     SDG 11 % of Portfolio Eligible
SDG2R :     SDG 11 % of Portfolio Not Eligible
SDG2S :     SDG 11 % of Portfolio Covered
SDG2T :     SDG 11 % of Portfolio Not Covered
SDG2U :     SDG 11 % of Portfolio Eligible Not Covered
SDG2V :     SDG 11 % of Eligible Portfolio Covered
SDG2W :     SDG 11 % of Eligible Portfolio Not Covered
SDG2X :     SDG 11 Number of Holdings Covered
SDG2Y :     SDG 11 % of Portfolio Involved
SDG2Z :     SDG 11 % of Portfolio Not Involved
